Company,Market cap($B),Share Price,Pct_change,Trend,Country
Lloyds Banking Group,47.61,3.01,0.33,down,UK
Maruti Suzuki India,47.56,151.3,0.03,down,India
United Rentals,47.51,707.41,4.1,up,USA
Kimberly-Clark,47.47,141.01,0.37,down,USA
Johnson Controls,47.16,70.01,0.04,up,Ireland
CIBC,47.11,49.88,2.99,up,Canada
Denso,47.06,16.17,0.79,down,Japan
Hyundai,47.05,60.74,2.93,up,S. Korea
Oriental Land,47.02,28.7,1.24,down,Japan
Fortescue,46.93,15.24,0.49,up,Australia
Nongfu Spring,46.9,4.17,2.84,down,China
Atlassian,46.84,179.95,0.83,down,Australia
Charter Communications,46.75,324.59,4.36,up,USA
Sika,46.64,290.73,0.27,down,Switzerland
Moderna,46.55,121.48,0.02,up,USA
Goodman Group,46.45,24.46,1.54,up,Australia
Waste Connections,46.44,179.99,0.3,down,USA
Hess,46.4,150.61,1.5,up,USA
W. W. Grainger,46.32,942.78,2.65,up,USA
Humana,46.29,384.21,0.52,up,USA
Pacific Gas and Electric,46.2,17.67,2.48,down,USA
Fortinet,45.75,59.9,0.59,up,USA
Ares Management,45.67,145.98,2.41,up,USA
Constellation Brands,45.47,249.53,3.96,down,USA
Sun Pharmaceutical,45.35,18.9,0.43,down,India
Mindray,45.35,37.41,2.05,down,China
Prudential Financial,45.07,125.54,1.84,up,USA
Crédit Agricole,44.97,14.87,0.07,up,France
DexCom,44.94,113.01,0.92,down,USA
Tata Motors,44.88,12.22,0.32,down,India
Hoya,44.86,128.48,0.85,down,Japan
Crown Castle,44.8,103.12,0.42,down,USA
Snowflake,44.76,133.72,1.5,down,USA
Kinder Morgan,44.76,20.17,0.1,down,USA
Murata Manufacturing (Murata Seisakusho),44.62,23.83,5.54,up,Japan
L3Harris Technologies,44.48,234.54,1.51,up,USA
Block,44.46,72.06,4.83,up,USA
Experian,44.38,48.0,0.0,up,Ireland
Alcon,44.37,89.96,1.94,down,Switzerland
Keurig Dr Pepper,44.28,32.67,0.15,up,USA
Ameriprise Financial,44.27,445.8,0.11,down,USA
Adidas,44.24,247.79,1.77,down,Germany
Maaden,44.18,11.97,1.47,up,S. Arabia
